alt_km,lat_deg,lon_deg,lt_h,doy,f107,f107m,kp3h,kp24h,temperature_k,exospheric_temp_k,density_g_cm3,mean_mol_mass_g,d_h_g_cm3,d_he_g_cm3,d_o_g_cm3,d_n2_g_cm3,d_o2_g_cm3,d_n_g_cm3
276.56999999999999,-30.310000000000002,-119.82999999999998,17.390000000000001,95,109.00999999999999,98.670000000000002,2.3500000000000001,1.8800000000000001,1000,1000,6.5720947564282262e-13,2.5999162197113037,1.8345500357556943e-13,2.1236850711141286e-13,2.3233110856175909e-13,6.109181086358384e-15,3.6117510281911784e-15,1.9333904797773881e-14
279.88,-29.039999999999999,-114.71999999999997,17.759999999999998,97,109.84,99.280000000000001,2.4000000000000004,1.9199999999999999,1000,1000,6.3965288144354759e-13,2.5535597801208496,1.827987224480368e-13,2.0934596829495777e-13,2.1938421673924069e-13,6.5157530893921855e-15,3.2204298533726906e-15,1.8387823205799451e-14
283.19,-27.769999999999996,-109.60999999999999,18.129999999999999,99,110.66999999999999,99.890000000000001,2.4500000000000002,1.96,1000,1000,6.2303282108086555e-13,2.5094411373138428,1.8214546353405997e-13,2.0636942675567038e-13,2.0717063860861001e-13,6.9865598359810169e-15,2.8718355615125514e-15,1.748891118459172e-14
286.5,-26.5,-104.49999999999997,18.5,101,111.5,100.5,2.5,2,1000,1000,6.0729503023604359e-13,2.467470645904541,1.8149515907100316e-13,2.0343805578939417e-13,1.9564818515283022e-13,7.5176545761071467e-15,2.5612666962370259e-15,1.6634778407173534e-14
289.81,-25.230000000000004,-99.389999999999986,18.870000000000001,103,112.33,101.11,2.5500000000000003,2.04,1000,1000,5.9238573248132642e-13,2.4275496006011963,1.8084783616392069e-13,2.0055120487482564e-13,1.847770661521711e-13,8.1019633141115807e-15,2.2845427264349405e-15,1.5823139578653202e-14
293.12,-23.959999999999994,-94.279999999999973,19.239999999999998,105,113.16,101.72,2.6000000000000001,2.0800000000000001,1000,1000,5.7824995876656904e-13,2.3895654678344727,1.802034812602854e-13,1.9770814217549837e-13,1.7452002570948061e-13,8.728471233548224e-15,2.0379508949402428e-15,1.5051865258201326e-14
296.43000000000001,-22.689999999999998,-89.169999999999959,19.609999999999999,107,113.98999999999999,102.33,2.6500000000000004,2.1200000000000001,1000,1000,5.6483035479684696e-13,2.3533880710601807,1.7956202659746151e-13,1.949081765125274e-13,1.6484171883393572e-13,9.3813455945669991e-15,1.8181820557862469e-15,1.4318888685426606e-14
299.74000000000001,-21.420000000000002,-84.060000000000002,19.98,109,114.81999999999999,102.94,2.7000000000000002,2.1600000000000001,1000,1000,5.5206701840213035e-13,2.3188669681549072,1.7892351283303048e-13,1.9215053539186483e-13,1.5570888762389545e-13,1.0039469018759909e-14,1.6222954164592045e-15,1.362227947224225e-14
303.05000000000001,-20.150000000000006,-78.949999999999989,20.350000000000001,111,115.65000000000001,103.55,2.75,2.2000000000000002,1000,1000,5.3989733690695818e-13,2.2858319282531738,1.782878857568837e-13,1.8943463605484295e-13,1.4709042902953662e-13,1.0676519110258079e-14,1.4476781979541912e-15,1.2960209721548082e-14
306.36000000000001,-18.879999999999995,-73.839999999999975,20.719999999999999,113,116.47999999999999,104.16,2.8000000000000003,2.2400000000000002,1000,1000,5.2825609555065545e-13,2.2540929317474365,1.7765515892154832e-13,1.8675973311246818e-13,1.3895683919924046e-13,1.1261482604730741e-14,1.2920013773036129e-15,1.2330920992945603e-14
